"ID","Total.Enrollment","Female","Male","Asian","Black","Hispanic","White","Disabilities","English.Language.Learners","Poverty","Economic.Needs.Index","MAT_num_tested","MAT_mean_score","ELA_num_tested","ELA_mean_score"
"09X028 2015",740,0.454,0.546,0.005,0.191,0.796,0.004,0.188,0.332,0.995,0.905,315,291,305,48
"09X028 2016",768,0.431,0.569,0.007,0.176,0.809,0.007,0.212,0.316,0.991,0.902,327,295,317,57
"09X028 2017",751,0.409,0.591,0.012,0.19,0.784,0.011,0.218,0.304,0.976,0.888,323,292,309,58
"09X035 2013",642,0.464,0.536,0.006,0.282,0.695,0.008,0.184,0.229,0.958,NA,301,301,293,60
"09X035 2014",661,0.477,0.523,0.012,0.284,0.676,0.008,0.227,0.236,0.971,NA,304,298,292,60
"09X035 2015",710,0.468,0.532,0.006,0.282,0.685,0.01,0.242,0.224,0.968,0.824,328,293,321,52
"09X035 2016",696,0.463,0.537,0.01,0.289,0.681,0.007,0.244,0.247,0.955,0.803,355,286,340,61
"09X035 2017",671,0.48,0.52,0.01,0.288,0.683,0.01,0.213,0.273,0.96,0.801,354,277,337,57
"09X042 2013",467,0.482,0.518,0.006,0.411,0.557,0.021,0.231,0.186,0.994,NA,217,276,215,43
"09X042 2014",460,0.493,0.507,0.007,0.435,0.537,0.017,0.243,0.124,0.993,NA,202,276,196,44
"09X042 2015",453,0.481,0.519,0.004,0.413,0.558,0.02,0.267,0.143,0.996,0.93,193,283,188,46
"09X042 2016",441,0.506,0.494,0.005,0.406,0.565,0.02,0.261,0.156,0.991,0.916,205,278,196,54
"09X042 2017",444,0.5,0.5,0.007,0.392,0.59,0.009,0.266,0.146,0.991,0.915,176,292,173,60
"09X053 2013",NA,0.486,0.514,0.012,0.347,0.63,0.009,0.118,0.29,1,NA,640,296,611,62
"09X053 2014",NA,0.488,0.512,0.009,0.355,0.627,0.008,0.16,0.273,1,NA,614,302,603,54
"09X053 2015",NA,0.488,0.512,0.007,0.331,0.648,0.012,0.148,0.235,1,0.911,607,298,581,58
"09X053 2016",NA,0.483,0.517,0.008,0.329,0.644,0.016,0.15,0.263,1,0.897,573,302,552,67
"09X053 2017",NA,0.495,0.505,0.01,0.298,0.674,0.015,0.147,0.278,1,0.89,546,306,523,67
"09X055 2013",668,0.473,0.527,0.003,0.497,0.493,0.007,0.153,0.168,0.955,NA,304,275,298,37
