"ID","Total.Enrollment","Female","Male","Asian","Black","Hispanic","White","Disabilities","English.Language.Learners","Poverty","Economic.Needs.Index","MAT_num_tested","MAT_mean_score","ELA_num_tested","ELA_mean_score"
"20K105 2013",NA,0.494,0.506,0.928,0.002,0.04,0.03,0.066,0.569,1,NA,918,322,879,66
"20K105 2014",NA,0.475,0.525,0.928,0.001,0.043,0.028,0.072,0.563,1,NA,903,330,886,68
"20K105 2015",NA,0.484,0.516,0.924,0.001,0.045,0.029,0.067,0.517,1,0.788,883,333,858,70
"20K105 2016",NA,0.484,0.516,0.922,0.001,0.045,0.032,0.072,0.498,1,0.719,836,337,805,74
"20K105 2017",NA,0.481,0.519,0.917,0.001,0.048,0.033,0.069,0.499,1,0.654,791,338,763,78
"20K112 2013",531,0.484,0.516,0.441,0.006,0.266,0.284,0.147,0.202,1,NA,236,323,233,76
"20K112 2014",530,0.479,0.521,0.436,0.006,0.292,0.264,0.179,0.194,1,NA,252,318,245,72
"20K112 2015",559,0.469,0.531,0.433,0.002,0.302,0.261,0.2,0.227,1,0.708,275,315,268,76
"20K112 2016",614,0.461,0.539,0.409,0,0.313,0.275,0.186,0.243,1,0.663,288,313,277,81
"20K112 2017",655,0.447,0.553,0.389,0,0.322,0.282,0.168,0.246,1,0.612,283,318,275,78
"20K127 2013",537,0.473,0.527,0.127,0.011,0.223,0.629,0.188,0.171,0.75,NA,264,311,263,68
"20K127 2014",518,0.463,0.537,0.168,0.015,0.232,0.579,0.21,0.197,0.784,NA,258,319,256,73
"20K127 2015",519,0.476,0.524,0.249,0.015,0.225,0.507,0.204,0.27,0.798,0.55,252,312,247,73
"20K127 2016",529,0.452,0.548,0.314,0.009,0.216,0.457,0.208,0.299,0.802,0.534,256,316,251,79
"20K127 2017",523,0.48,0.52,0.35,0.008,0.207,0.426,0.176,0.294,0.778,0.5,250,316,244,76
"20K160 2013",NA,0.472,0.528,0.756,0.008,0.167,0.067,0.075,0.656,1,NA,508,313,477,68
"20K160 2014",NA,0.469,0.531,0.811,0.01,0.123,0.051,0.08,0.689,1,NA,530,322,502,63
"20K160 2015",NA,0.468,0.532,0.836,0.007,0.108,0.046,0.087,0.709,1,0.808,566,325,548,68
"20K160 2016",NA,0.482,0.518,0.845,0.007,0.104,0.039,0.095,0.659,1,0.762,618,324,592,73
"20K160 2017",NA,0.478,0.522,0.855,0.006,0.1,0.036,0.109,0.661,1,0.709,653,325,626,72
"20K163 2013",654,0.442,0.558,0.303,0.006,0.3,0.382,0.197,0.208,0.843,NA,415,316,412,63
"20K163 2014",625,0.454,0.546,0.288,0.011,0.304,0.392,0.226,0.181,0.859,NA,443,321,433,68
"20K163 2015",618,0.46,0.54,0.286,0.005,0.33,0.371,0.222,0.183,0.825,0.641,445,319,434,68
"20K163 2016",629,0.463,0.537,0.288,0.01,0.321,0.375,0.227,0.17,0.819,0.632,457,318,444,72
"20K163 2017",611,0.471,0.529,0.275,0.011,0.339,0.368,0.205,0.191,0.792,0.633,436,318,431,76
"20K164 2013",514,0.496,0.504,0.261,0.008,0.589,0.125,0.214,0.212,1,NA,211,308,202,64
"20K164 2014",543,0.503,0.497,0.284,0.017,0.569,0.107,0.193,0.195,1,NA,222,311,215,61
"20K164 2015",569,0.483,0.517,0.322,0.019,0.513,0.118,0.183,0.183,1,0.85,212,309,210,63
"20K164 2016",590,0.492,0.508,0.317,0.019,0.498,0.139,0.19,0.153,1,0.837,234,310,233,74
"20K164 2017",658,0.495,0.505,0.381,0.014,0.45,0.132,0.19,0.179,1,0.786,235,320,230,80
"20K170 2013",929,0.491,0.509,0.397,0.013,0.203,0.381,0.125,0.368,1,NA,441,318,419,68
"20K170 2014",936,0.474,0.526,0.429,0.012,0.2,0.356,0.139,0.379,0.924,NA,457,317,434,69
"20K170 2015",NA,0.471,0.529,0.43,0.012,0.195,0.355,0.137,0.374,0.919,0.732,495,320,479,68
"20K170 2016",NA,0.459,0.541,0.455,0.01,0.187,0.341,0.119,0.355,0.906,0.709,527,315,502,69
"20K170 2017",NA,0.456,0.544,0.499,0.008,0.179,0.305,0.129,0.376,0.919,0.671,560,318,531,71
"20K176 2013",NA,0.481,0.519,0.566,0.004,0.184,0.243,0.111,0.176,0.82,NA,643,331,632,82
"20K176 2014",NA,0.489,0.511,0.587,0.007,0.201,0.201,0.112,0.175,0.838,NA,683,331,674,79
"20K176 2015",NA,0.499,0.501,0.618,0.005,0.206,0.167,0.102,0.247,0.867,0.697,753,332,731,80
"20K176 2016",NA,0.488,0.512,0.631,0.004,0.21,0.151,0.121,0.272,0.864,0.67,778,331,765,83
"20K176 2017",NA,0.49,0.51,0.648,0.006,0.205,0.136,0.113,0.285,0.874,0.616,791,334,773,83
"20K179 2013",980,0.478,0.522,0.497,0.034,0.297,0.161,0.14,0.446,1,NA,428,289,411,53
"20K179 2014",993,0.488,0.512,0.553,0.028,0.265,0.145,0.15,0.454,1,NA,416,293,397,50
"20K179 2015",974,0.484,0.516,0.568,0.029,0.251,0.144,0.15,0.488,1,0.809,398,294,384,53
"20K179 2016",939,0.492,0.508,0.56,0.032,0.25,0.149,0.155,0.474,1,0.801,410,291,384,58
"20K179 2017",913,0.496,0.504,0.555,0.035,0.258,0.138,0.162,0.485,1,0.783,403,296,381,61
"20K180 2013",NA,0.449,0.551,0.402,0.012,0.216,0.36,0.141,0.216,0.828,NA,796,312,786,68
"20K180 2014",NA,0.448,0.552,0.434,0.013,0.232,0.31,0.146,0.234,0.868,NA,738,318,761,70
"20K180 2015",NA,0.452,0.548,0.435,0.012,0.261,0.279,0.145,0.237,0.87,0.703,741,316,762,70
"20K180 2016",NA,0.447,0.553,0.43,0.012,0.279,0.269,0.156,0.233,0.878,0.699,725,318,746,75
"20K180 2017",NA,0.453,0.547,0.451,0.009,0.275,0.253,0.159,0.272,0.886,0.692,742,322,770,77
"20K185 2013",764,0.483,0.517,0.08,0,0.139,0.781,0.127,0.08,0.441,NA,422,315,415,81
"20K185 2014",723,0.49,0.51,0.08,0.001,0.149,0.768,0.13,0.068,0.454,NA,380,323,377,77
"20K185 2015",716,0.487,0.513,0.082,0.003,0.151,0.754,0.145,0.068,0.429,0.36,350,320,350,80
"20K185 2016",663,0.481,0.519,0.084,0.003,0.163,0.73,0.155,0.072,0.406,0.317,334,322,327,85
"20K185 2017",673,0.501,0.499,0.083,0.007,0.163,0.715,0.119,0.079,0.4,0.311,310,326,309,90
"20K186 2013",940,0.498,0.502,0.394,0.003,0.247,0.355,0.127,0.264,1,NA,429,311,405,74
"20K186 2014",958,0.508,0.492,0.401,0.002,0.251,0.346,0.147,0.235,1,NA,459,323,449,73
"20K186 2015",993,0.487,0.513,0.399,0.003,0.274,0.322,0.147,0.247,1,0.653,470,321,455,74
"20K186 2016",995,0.502,0.498,0.393,0.001,0.273,0.327,0.15,0.305,1,0.625,463,319,441,75
"20K186 2017",NA,0.483,0.517,0.403,0.002,0.265,0.319,0.15,0.315,1,0.607,469,320,450,82
"20K187 2013",911,0.508,0.492,0.724,0.007,0.032,0.236,0.055,0.022,0.672,NA,874,364,874,111
"20K187 2014",970,0.499,0.501,0.736,0.006,0.041,0.215,0.071,0.02,0.656,NA,763,368,928,110
"20K187 2015",NA,0.494,0.506,0.702,0.006,0.053,0.231,0.079,0.027,0.634,0.482,806,371,974,112
"20K187 2016",999,0.509,0.491,0.693,0.005,0.062,0.239,0.089,0.024,0.618,0.463,942,376,947,115
"20K187 2017",892,0.518,0.482,0.667,0.006,0.064,0.261,0.1,0.029,0.632,0.437,829,373,851,118
"20K192 2013",640,0.477,0.523,0.12,0.03,0.486,0.359,0.223,0.287,1,NA,359,297,354,57
"20K192 2014",617,0.47,0.53,0.214,0.026,0.511,0.248,0.225,0.287,1,NA,348,302,347,60
"20K192 2015",662,0.486,0.514,0.207,0.024,0.517,0.249,0.237,0.296,1,0.763,346,298,341,59
"20K192 2016",687,0.514,0.486,0.202,0.017,0.517,0.263,0.233,0.298,1,0.749,369,301,362,67
"20K192 2017",693,0.519,0.481,0.211,0.016,0.489,0.278,0.216,0.33,1,0.759,359,305,354,68
"20K200 2013",NA,0.481,0.519,0.33,0.014,0.206,0.442,0.092,0.175,0.776,NA,613,319,589,71
"20K200 2014",NA,0.465,0.535,0.315,0.008,0.222,0.443,0.097,0.178,0.784,NA,602,319,586,69
"20K200 2015",NA,0.469,0.531,0.331,0.008,0.217,0.433,0.105,0.226,0.789,0.626,630,320,611,72
"20K200 2016",NA,0.479,0.521,0.338,0.007,0.211,0.43,0.117,0.235,0.792,0.621,641,319,621,72
"20K200 2017",NA,0.484,0.516,0.349,0.008,0.218,0.41,0.127,0.267,0.793,0.586,601,317,580,70
"20K201 2013",NA,0.465,0.535,0.459,0.007,0.145,0.385,0.11,0.097,0.772,NA,1477,324,1457,78
"20K201 2014",NA,0.483,0.517,0.466,0.007,0.131,0.393,0.114,0.092,0.751,NA,1219,325,1415,80
"20K201 2015",NA,0.478,0.522,0.449,0.005,0.142,0.399,0.118,0.087,0.74,0.558,1182,326,1362,83
"20K201 2016",NA,0.465,0.535,0.455,0.004,0.14,0.393,0.132,0.084,0.729,0.521,1333,328,1398,86
"20K201 2017",NA,0.464,0.536,0.489,0.004,0.158,0.342,0.139,0.094,0.748,0.489,1476,331,1469,89
"20K204 2013",NA,0.493,0.507,0.426,0.005,0.164,0.402,0.131,0.074,0.705,NA,540,324,532,75
"20K204 2014",NA,0.491,0.509,0.443,0.005,0.178,0.369,0.142,0.092,0.749,NA,526,328,510,77
"20K204 2015",NA,0.495,0.505,0.456,0.004,0.186,0.349,0.15,0.128,0.758,0.541,549,325,537,78
"20K204 2016",NA,0.502,0.498,0.499,0.005,0.188,0.303,0.15,0.14,0.744,0.507,554,327,538,82
"20K204 2017",NA,0.48,0.52,0.53,0.004,0.184,0.276,0.138,0.14,0.762,0.479,573,333,566,86
"20K205 2013",997,0.484,0.516,0.454,0.009,0.229,0.304,0.18,0.319,1,NA,376,310,363,66
"20K205 2014",NA,0.486,0.514,0.494,0.006,0.209,0.288,0.178,0.281,1,NA,396,315,391,68
"20K205 2015",NA,0.486,0.514,0.531,0.007,0.205,0.256,0.162,0.309,1,0.658,424,321,413,75
"20K205 2016",NA,0.487,0.513,0.563,0.008,0.202,0.226,0.171,0.297,1,0.637,498,322,483,79
"20K205 2017",NA,0.488,0.512,0.58,0.011,0.19,0.217,0.148,0.285,1,0.61,544,324,532,81
"20K220 2013",NA,0.479,0.521,0.47,0.02,0.442,0.068,0.146,0.36,0.612,NA,1269,303,1201,46
"20K220 2014",NA,0.449,0.551,0.469,0.016,0.451,0.065,0.142,0.381,0.771,NA,1295,310,1244,52
"20K220 2015",NA,0.466,0.534,0.433,0.012,0.454,0.101,0.157,0.344,0.745,0.818,1284,313,1225,54
"20K220 2016",NA,0.479,0.521,0.488,0.01,0.438,0.063,0.146,0.327,0.695,0.797,1320,317,1274,61
"20K220 2017",NA,0.483,0.517,0.515,0.012,0.413,0.06,0.142,0.316,0.638,0.75,1401,317,1314,65
"20K223 2013",834,0.489,0.511,0.478,0.101,0.293,0.124,0.131,0.378,0.95,NA,799,302,737,52
"20K223 2014",942,0.489,0.511,0.542,0.08,0.277,0.099,0.137,0.374,0.945,NA,795,306,816,53
"20K223 2015",954,0.476,0.524,0.591,0.053,0.269,0.083,0.143,0.367,0.951,0.784,870,315,829,55
"20K223 2016",994,0.458,0.542,0.61,0.039,0.275,0.074,0.13,0.314,0.953,0.749,923,316,872,64
"20K223 2017",NA,0.471,0.529,0.627,0.023,0.251,0.095,0.132,0.324,0.956,0.728,933,315,886,67
"20K227 2013",NA,0.458,0.542,0.574,0.006,0.266,0.153,0.153,0.314,0.923,NA,1312,309,1242,51
"20K227 2014",NA,0.468,0.532,0.581,0.006,0.262,0.15,0.142,0.301,0.919,NA,1322,307,1253,56
"20K227 2015",NA,0.48,0.52,0.587,0.005,0.241,0.167,0.141,0.289,0.866,0.722,1265,310,1211,56
"20K227 2016",NA,0.475,0.525,0.596,0.005,0.243,0.155,0.131,0.26,0.868,0.698,1295,310,1210,65
"20K227 2017",NA,0.468,0.532,0.6,0.006,0.243,0.149,0.131,0.285,0.851,0.652,1400,309,1290,63
"20K229 2013",NA,0.474,0.526,0.486,0.006,0.113,0.388,0.127,0.077,0.536,NA,690,329,685,83
"20K229 2014",NA,0.491,0.509,0.51,0.006,0.115,0.358,0.13,0.09,0.547,NA,656,338,684,85
"20K229 2015",NA,0.489,0.511,0.528,0.009,0.11,0.342,0.142,0.099,0.561,0.383,689,333,712,86
"20K229 2016",NA,0.485,0.515,0.55,0.013,0.113,0.315,0.151,0.094,0.535,0.365,706,337,726,90
"20K229 2017",NA,0.494,0.506,0.569,0.015,0.118,0.291,0.14,0.123,0.552,0.361,750,335,773,89
"20K247 2013",750,0.551,0.449,0.467,0.009,0.14,0.384,0.135,0.235,1,NA,344,331,334,83
"20K247 2014",796,0.531,0.469,0.469,0.008,0.138,0.378,0.162,0.211,1,NA,369,336,360,81
"20K247 2015",822,0.51,0.49,0.488,0.006,0.128,0.375,0.169,0.22,1,0.617,380,333,369,80
"20K247 2016",820,0.49,0.51,0.483,0.007,0.138,0.368,0.182,0.249,1,0.586,373,329,362,83
"20K247 2017",850,0.5,0.5,0.489,0.009,0.131,0.368,0.159,0.288,1,0.523,381,337,374,87
"20K259 2013",NA,0.464,0.536,0.404,0.015,0.28,0.299,0.123,0.185,0.832,NA,1421,322,1387,68
"20K259 2014",NA,0.471,0.529,0.397,0.017,0.268,0.316,0.119,0.151,0.809,NA,1415,327,1371,74
"20K259 2015",NA,0.466,0.534,0.424,0.011,0.247,0.315,0.113,0.122,0.795,0.621,1457,329,1423,75
"20K259 2016",NA,0.472,0.528,0.447,0.013,0.219,0.32,0.116,0.113,0.745,0.606,1590,332,1563,82
"20K259 2017",NA,0.465,0.535,0.438,0.015,0.205,0.338,0.113,0.12,0.735,0.572,1720,329,1679,85
"20K264 2014",362,0.5,0.5,0.141,0.025,0.348,0.459,0.193,0.16,0.674,NA,57,309,56,67
"20K264 2015",464,0.485,0.515,0.134,0.032,0.341,0.478,0.183,0.144,0.662,0.544,132,313,132,66
"20K264 2016",486,0.492,0.508,0.115,0.029,0.346,0.498,0.22,0.134,0.669,0.549,209,315,204,84
"20K264 2017",500,0.502,0.498,0.118,0.028,0.314,0.524,0.232,0.144,0.674,0.524,221,313,220,83
"20K310 2013",296,0.419,0.581,0.801,0.003,0.115,0.078,0.125,0.632,0.953,NA,21,305,20,61
"20K310 2014",389,0.445,0.555,0.833,0.005,0.093,0.064,0.111,0.676,0.972,NA,91,322,88,63
"20K310 2015",422,0.476,0.524,0.836,0.007,0.085,0.071,0.123,0.68,0.96,0.834,172,333,165,74
"20K310 2016",451,0.459,0.541,0.851,0.007,0.078,0.064,0.106,0.499,0.971,0.816,232,337,226,86
"20K310 2017",424,0.465,0.535,0.851,0.002,0.087,0.059,0.104,0.493,0.974,0.78,247,332,239,87
"20K503 2013",987,0.469,0.531,0.184,0.01,0.769,0.031,0.196,0.581,0.96,NA,442,286,432,47
"20K503 2014",NA,0.459,0.541,0.171,0.009,0.782,0.034,0.209,0.53,0.962,NA,461,294,448,52
"20K503 2015",NA,0.471,0.529,0.179,0.01,0.773,0.034,0.215,0.538,0.966,0.873,477,294,465,48
"20K503 2016",NA,0.486,0.514,0.191,0.011,0.756,0.039,0.207,0.549,0.965,0.869,512,292,504,52
"20K503 2017",NA,0.491,0.509,0.187,0.011,0.747,0.051,0.207,0.577,0.963,0.842,522,290,505,53
"20K506 2013",821,0.486,0.514,0.242,0.011,0.713,0.03,0.145,0.267,0.948,NA,352,297,344,57
"20K506 2014",807,0.472,0.528,0.271,0.01,0.68,0.032,0.155,0.229,0.959,NA,355,310,346,55
"20K506 2015",859,0.477,0.523,0.295,0.009,0.657,0.038,0.161,0.274,0.962,0.807,394,305,384,58
"20K506 2016",831,0.456,0.544,0.301,0.01,0.65,0.039,0.164,0.267,0.953,0.793,383,305,375,65
"20K506 2017",836,0.477,0.523,0.289,0.01,0.654,0.045,0.164,0.292,0.952,0.762,364,304,352,60
"20K609 2013",429,1,0,0.361,0.317,0.217,0.103,0.182,0.138,0.909,NA,163,300,163,64
"20K609 2014",485,1,0,0.41,0.28,0.202,0.099,0.144,0.107,0.911,NA,155,301,152,68
"20K609 2015",496,1,0,0.45,0.234,0.196,0.117,0.139,0.109,0.927,0.724,153,300,157,69
"20K609 2016",529,1,0,0.465,0.21,0.195,0.123,0.153,0.102,0.911,0.711,166,309,175,77
"20K609 2017",558,1,0,0.47,0.183,0.19,0.136,0.152,0.151,0.934,0.714,195,307,190,77
"20K682 2013",294,0.493,0.507,0.19,0.041,0.109,0.653,0.156,0.105,0.435,NA,112,329,112,82
"20K682 2014",344,0.477,0.523,0.172,0.044,0.125,0.622,0.195,0.087,0.448,NA,168,332,169,86
"20K682 2015",356,0.489,0.511,0.185,0.045,0.135,0.621,0.208,0.059,0.441,0.389,172,335,172,87
"20K682 2016",350,0.463,0.537,0.18,0.037,0.14,0.631,0.249,0.066,0.426,0.338,157,334,157,96
"20K682 2017",360,0.442,0.558,0.183,0.044,0.142,0.619,0.258,0.047,0.364,0.309,151,326,151,92
"20K686 2013",315,0.53,0.47,0.133,0.06,0.051,0.752,0.07,0.051,0.2,NA,130,339,130,99
"20K686 2014",378,0.526,0.474,0.167,0.053,0.048,0.73,0.082,0.05,0.198,NA,184,344,184,101
"20K686 2015",441,0.519,0.481,0.159,0.05,0.043,0.737,0.061,0.054,0.193,0.218,249,344,248,100
"20K686 2016",521,0.516,0.484,0.177,0.05,0.046,0.706,0.065,0.061,0.213,0.22,314,354,315,105
"20K686 2017",585,0.503,0.497,0.185,0.05,0.041,0.696,0.068,0.084,0.21,0.207,357,348,357,106
"20K748 2013",360,0.478,0.522,0.397,0.011,0.156,0.414,0.103,0.064,0.533,NA,55,357,55,106
"20K748 2014",496,0.468,0.532,0.393,0.004,0.185,0.389,0.101,0.097,0.585,NA,141,343,141,101
"20K748 2015",577,0.485,0.515,0.388,0.003,0.196,0.395,0.111,0.166,0.633,0.522,223,345,220,97
"20K748 2016",615,0.502,0.498,0.389,0.002,0.208,0.382,0.135,0.174,0.662,0.515,273,347,273,92
"20K748 2017",555,0.495,0.505,0.393,0.004,0.249,0.339,0.135,0.168,0.694,0.5,291,341,289,98
"20K971 2014",288,0.507,0.493,0.549,0.017,0.385,0.042,0.125,0.51,0.92,NA,53,284,52,27
"20K971 2015",336,0.521,0.479,0.527,0.018,0.405,0.048,0.128,0.414,0.932,0.762,114,307,111,53
"20K971 2016",376,0.495,0.505,0.545,0.011,0.388,0.056,0.12,0.404,0.936,0.736,191,301,181,66
"20K971 2017",374,0.473,0.527,0.521,0.011,0.385,0.083,0.112,0.406,0.925,0.702,199,306,192,65
"21K090 2013",617,0.546,0.454,0.092,0.139,0.569,0.188,0.152,0.178,1,NA,228,292,224,59
"21K090 2014",620,0.527,0.473,0.103,0.139,0.579,0.166,0.123,0.155,1,NA,258,298,255,56
"21K090 2015",666,0.515,0.485,0.119,0.135,0.571,0.162,0.15,0.135,1,0.813,263,300,261,57
"21K090 2016",649,0.507,0.493,0.114,0.129,0.593,0.148,0.196,0.156,1,0.818,259,301,256,66
"21K090 2017",648,0.514,0.486,0.114,0.16,0.582,0.128,0.179,0.199,1,0.8,263,293,262,61
"21K095 2013",957,0.487,0.513,0.274,0.089,0.377,0.249,0.183,0.171,1,NA,515,308,507,64
"21K095 2014",964,0.483,0.517,0.27,0.09,0.386,0.237,0.184,0.136,1,NA,514,315,507,68
"21K095 2015",978,0.483,0.517,0.277,0.087,0.384,0.238,0.17,0.153,1,0.703,487,316,484,72
"21K095 2016",932,0.481,0.519,0.286,0.093,0.387,0.222,0.188,0.144,1,0.696,486,322,474,77
"21K095 2017",923,0.485,0.515,0.309,0.092,0.374,0.218,0.176,0.138,1,0.659,531,320,520,78
"21K096 2013",737,0.479,0.521,0.332,0.145,0.289,0.227,0.19,0.216,0.597,NA,670,296,640,53
"21K096 2014",711,0.449,0.551,0.325,0.118,0.3,0.246,0.214,0.246,0.714,NA,626,302,597,56
"21K096 2015",638,0.464,0.536,0.315,0.108,0.295,0.273,0.263,0.274,0.693,0.735,584,301,537,56
"21K096 2016",641,0.46,0.54,0.334,0.106,0.276,0.273,0.245,0.293,0.669,0.695,582,299,513,62
"21K096 2017",723,0.463,0.537,0.342,0.098,0.261,0.282,0.232,0.333,0.627,0.65,647,304,592,61
"21K097 2013",813,0.524,0.476,0.491,0.014,0.187,0.306,0.183,0.231,1,NA,370,318,358,75
"21K097 2014",824,0.507,0.493,0.484,0.005,0.209,0.299,0.194,0.225,1,NA,378,324,367,72
"21K097 2015",824,0.495,0.505,0.481,0.006,0.208,0.297,0.177,0.227,1,0.551,385,324,376,73
"21K097 2016",833,0.479,0.521,0.496,0.01,0.199,0.287,0.166,0.258,1,0.555,407,321,389,79
"21K097 2017",844,0.468,0.532,0.527,0.013,0.194,0.257,0.141,0.299,1,0.528,403,321,395,75
"21K098 2013",NA,0.528,0.472,0.319,0.055,0.079,0.545,0.061,0.008,0.614,NA,1273,336,1273,88
"21K098 2014",NA,0.537,0.463,0.316,0.046,0.081,0.544,0.065,0.012,0.623,NA,1333,349,1332,94
"21K098 2015",NA,0.539,0.461,0.284,0.035,0.093,0.572,0.078,0.015,0.578,0.443,1401,350,1404,97
"21K098 2016",NA,0.536,0.464,0.27,0.029,0.096,0.585,0.088,0.015,0.579,0.44,1448,353,1450,103
"21K098 2017",NA,0.542,0.458,0.264,0.027,0.085,0.601,0.096,0.011,0.547,0.401,1334,356,1382,105
"21K099 2013",826,0.489,0.511,0.407,0.111,0.2,0.277,0.184,0.251,1,NA,508,301,485,58
"21K099 2014",851,0.491,0.509,0.404,0.101,0.195,0.289,0.172,0.247,1,NA,489,306,499,58
"21K099 2015",843,0.488,0.512,0.414,0.085,0.192,0.301,0.16,0.289,1,0.68,471,308,467,64
"21K099 2016",883,0.495,0.505,0.405,0.079,0.183,0.323,0.143,0.301,1,0.677,500,309,500,67
"21K099 2017",879,0.515,0.485,0.419,0.077,0.18,0.316,0.14,0.309,1,0.659,502,305,500,67
"21K100 2013",707,0.513,0.487,0.035,0.055,0.069,0.833,0.124,0.107,0.646,NA,340,319,334,82
"21K100 2014",724,0.492,0.508,0.043,0.052,0.061,0.833,0.137,0.102,0.608,NA,326,329,320,86
"21K100 2015",734,0.501,0.499,0.037,0.044,0.064,0.85,0.165,0.121,0.599,0.401,310,327,306,80
"21K100 2016",761,0.515,0.485,0.042,0.045,0.058,0.853,0.162,0.129,0.522,0.366,309,326,299,93
"21K100 2017",777,0.52,0.48,0.044,0.035,0.055,0.864,0.161,0.169,0.537,0.356,328,326,318,89
"21K101 2013",894,0.461,0.539,0.525,0.007,0.163,0.303,0.158,0.18,1,NA,457,323,450,77
"21K101 2014",882,0.468,0.532,0.523,0.007,0.168,0.289,0.169,0.16,1,NA,443,326,434,75
"21K101 2015",898,0.459,0.541,0.521,0.004,0.175,0.296,0.186,0.192,1,0.603,462,326,455,76
"21K101 2016",886,0.466,0.534,0.528,0.006,0.19,0.269,0.21,0.177,1,0.596,457,325,445,86
"21K101 2017",885,0.484,0.516,0.532,0.006,0.174,0.277,0.194,0.215,1,0.562,462,328,442,93
"21K121 2013",352,0.523,0.477,0.156,0.037,0.406,0.401,0.213,0.116,1,NA,168,304,164,64
"21K121 2014",378,0.511,0.489,0.151,0.037,0.413,0.394,0.235,0.122,1,NA,187,312,183,67
"21K121 2015",379,0.517,0.483,0.172,0.04,0.43,0.351,0.259,0.179,1,0.678,200,316,192,70
"21K121 2016",356,0.497,0.503,0.18,0.031,0.421,0.354,0.275,0.183,1,0.661,181,314,177,79
"21K121 2017",350,0.466,0.534,0.171,0.031,0.411,0.371,0.266,0.209,1,0.617,177,313,173,75
"21K128 2013",384,0.471,0.529,0.318,0.008,0.198,0.469,0.148,0.318,0.854,NA,182,300,165,57
"21K128 2014",410,0.463,0.537,0.29,0.012,0.202,0.485,0.141,0.324,0.851,NA,182,307,176,61
"21K128 2015",426,0.448,0.552,0.312,0.009,0.2,0.462,0.146,0.347,0.826,0.654,210,306,203,59
"21K128 2016",425,0.454,0.546,0.296,0.007,0.179,0.506,0.184,0.414,0.852,0.655,212,300,200,58
"21K128 2017",440,0.475,0.525,0.289,0.007,0.17,0.532,0.159,0.45,0.836,0.619,205,304,192,65
"21K153 2013",541,0.536,0.464,0.335,0.031,0.279,0.327,0.183,0.233,1,NA,224,304,212,68
"21K153 2014",546,0.518,0.482,0.311,0.035,0.319,0.321,0.179,0.222,1,NA,240,315,229,70
"21K153 2015",559,0.512,0.488,0.272,0.027,0.311,0.343,0.181,0.245,1,0.682,251,309,236,66
"21K153 2016",565,0.515,0.485,0.257,0.023,0.333,0.336,0.175,0.232,1,0.665,241,308,238,72
"21K153 2017",536,0.489,0.511,0.265,0.019,0.351,0.312,0.19,0.237,1,0.625,214,316,208,75
"21K177 2013",967,0.495,0.505,0.269,0.007,0.303,0.412,0.149,0.29,1,NA,431,305,419,66
"21K177 2014",952,0.505,0.495,0.267,0.008,0.307,0.397,0.188,0.286,1,NA,426,315,415,66
"21K177 2015",964,0.493,0.507,0.258,0.006,0.322,0.396,0.197,0.321,1,0.695,450,308,429,62
"21K177 2016",953,0.49,0.51,0.25,0.006,0.334,0.389,0.186,0.319,1,0.68,468,306,451,68
"21K177 2017",968,0.498,0.502,0.268,0.008,0.332,0.371,0.182,0.325,1,0.646,474,304,452,69
"21K188 2013",592,0.473,0.527,0.071,0.48,0.321,0.122,0.23,0.047,1,NA,247,281,245,49
"21K188 2014",540,0.506,0.494,0.061,0.515,0.335,0.085,0.23,0.041,1,NA,255,283,255,46
"21K188 2015",487,0.517,0.483,0.047,0.511,0.351,0.08,0.234,0.035,1,0.871,226,290,224,52
"21K188 2016",502,0.52,0.48,0.036,0.506,0.355,0.09,0.223,0.046,1,0.856,242,286,239,60
"21K188 2017",486,0.498,0.502,0.041,0.498,0.356,0.084,0.224,0.056,1,0.855,216,294,213,62
"21K199 2013",501,0.471,0.529,0.285,0.04,0.224,0.445,0.17,0.305,0.854,NA,243,309,226,77
"21K199 2014",481,0.47,0.53,0.268,0.044,0.264,0.416,0.179,0.299,0.85,NA,229,321,225,71
"21K199 2015",484,0.494,0.506,0.25,0.043,0.252,0.455,0.171,0.341,0.841,0.708,213,317,206,73
"21K199 2016",501,0.503,0.497,0.206,0.044,0.267,0.481,0.188,0.287,0.854,0.71,222,315,214,73
"21K199 2017",521,0.495,0.505,0.234,0.044,0.232,0.48,0.175,0.309,0.835,0.683,210,312,194,77
"21K209 2013",702,0.503,0.497,0.318,0.031,0.219,0.427,0.201,0.207,0.788,NA,405,306,395,63
"21K209 2014",696,0.5,0.5,0.307,0.036,0.23,0.421,0.247,0.171,0.809,NA,366,308,379,60
"21K209 2015",722,0.511,0.489,0.285,0.036,0.241,0.429,0.263,0.176,0.801,0.582,376,308,388,67
"21K209 2016",707,0.506,0.494,0.304,0.04,0.228,0.417,0.277,0.156,0.781,0.573,379,314,381,74
"21K209 2017",713,0.512,0.488,0.304,0.038,0.243,0.408,0.252,0.195,0.771,0.538,373,315,384,79
"21K212 2013",676,0.493,0.507,0.294,0.169,0.303,0.225,0.197,0.188,0.852,NA,235,295,248,63
"21K212 2014",678,0.504,0.496,0.305,0.167,0.317,0.198,0.199,0.187,0.833,NA,251,305,245,62
"21K212 2015",694,0.488,0.512,0.324,0.15,0.323,0.197,0.231,0.177,0.841,0.76,264,303,262,67
"21K212 2016",689,0.511,0.489,0.337,0.149,0.328,0.177,0.229,0.189,0.881,0.761,292,303,283,68
